Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_BTTR,Geo_BTBG,Geo_PUMA5,Geo_PUMA1,SE_T001_001,SE_T021_001,ACS15_5yr_B08015001,ACS15_5yr_B08015002,ACS15_5yr_B08015003,ACS15_5yr_B08015001s,ACS15_5yr_B08015002s,ACS15_5yr_B08015003s
6037121020,14000US06037121020,"Census Tract 1210.20, Los Angeles County, California","Census Tract 1210.20, Los Angeles County, California",ca,140,0,ACSSF,4026,,,,,6,37,,,,121020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3740,3.78,1335,680,655,112.7272727,77.57575758,68.48484848
6037121101,14000US06037121101,"Census Tract 1211.01, Los Angeles County, California","Census Tract 1211.01, Los Angeles County, California",ca,140,0,ACSSF,4027,,,,,6,37,,,,121101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3152,3.4,1095,610,485,109.6969697,63.03030303,72.72727273
6037121102,14000US06037121102,"Census Tract 1211.02, Los Angeles County, California","Census Tract 1211.02, Los Angeles County, California",ca,140,0,ACSSF,4028,,,,,6,37,,,,121102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2608,3.49,835,345,490,67.27272727,43.63636364,50.3030303
6037121210,14000US06037121210,"Census Tract 1212.10, Los Angeles County, California","Census Tract 1212.10, Los Angeles County, California",ca,140,0,ACSSF,4029,,,,,6,37,,,,121210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3201,3.95,895,505,390,70.3030303,53.33333333,52.72727273
6037121221,14000US06037121221,"Census Tract 1212.21, Los Angeles County, California","Census Tract 1212.21, Los Angeles County, California",ca,140,0,ACSSF,4030,,,,,6,37,,,,121221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2304,4.53,780,505,275,67.87878788,49.6969697,41.81818182
6037121222,14000US06037121222,"Census Tract 1212.22, Los Angeles County, California","Census Tract 1212.22, Los Angeles County, California",ca,140,0,ACSSF,4031,,,,,6,37,,,,121222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5159,4.25,1475,840,640,132.1212121,107.8787879,95.15151515
6037121600,14000US06037121600,"Census Tract 1216, Los Angeles County, California","Census Tract 1216, Los Angeles County, California",ca,140,0,ACSSF,4032,,,,,6,37,,,,121600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2684,3.29,1125,615,510,103.6363636,70.3030303,52.72727273
6037121801,14000US06037121801,"Census Tract 1218.01, Los Angeles County, California","Census Tract 1218.01, Los Angeles County, California",ca,140,0,ACSSF,4033,,,,,6,37,,,,121801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3321,3.02,1160,700,460,106.0606061,104.8484848,61.81818182
6037121802,14000US06037121802,"Census Tract 1218.02, Los Angeles County, California","Census Tract 1218.02, Los Angeles County, California",ca,140,0,ACSSF,4034,,,,,6,37,,,,121802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3487,3.94,1040,540,500,98.78787879,58.18181818,69.6969697
6037121900,14000US06037121900,"Census Tract 1219, Los Angeles County, California","Census Tract 1219, Los Angeles County, California",ca,140,0,ACSSF,4035,,,,,6,37,,,,121900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4260,3.95,1835,970,865,169.6969697,127.2727273,80.60606061
6037122000,14000US06037122000,"Census Tract 1220, Los Angeles County, California","Census Tract 1220, Los Angeles County, California",ca,140,0,ACSSF,4036,,,,,6,37,,,,122000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6180,4,2380,1460,915,218.1818182,207.2727273,157.5757576
